cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
ALAGOINHA,PE,Nordeste,2600609,14517,0,0,0,0,0,Nenhum,0,0
ALAGOINHA DO PIAUÍ,PI,Nordeste,2200251,7526,0,0,0,0,0,Nenhum,0,0
ALAGOINHAS,BA,Nordeste,2900702,155979,2,1,3,0,0,Vários,6,3.84667166733983
ALAMBARI,SP,Sudeste,3500758,5754,0,0,0,0,0,Nenhum,0,0
ALBERTINA,MG,Sudeste,3101409,3046,0,0,0,0,1,Um,1,32.8299409061064
ALCÂNTARA,MA,Nordeste,2100204,21673,0,0,0,0,0,Nenhum,0,0
ALCÂNTARAS,CE,Nordeste,2300507,11459,0,0,0,0,0,Nenhum,0,0
ALCANTIL,PB,Nordeste,2500536,5499,0,0,0,0,0,Nenhum,0,0
ALCINÓPOLIS,MS,Centro-Oeste,5000252,5188,0,0,1,0,0,Um,1,19.2752505782575
ALCOBAÇA,BA,Nordeste,2900801,23376,0,0,1,0,1,Vários,2,8.55578370978782
ALDEIAS ALTAS,MA,Nordeste,2100303,26387,0,0,0,0,1,Um,1,3.78974495016485
ALECRIM,RS,Sul,4300307,6736,0,0,0,0,1,Um,1,14.8456057007126
ALEGRE,ES,Sudeste,3200201,32146,0,0,1,0,1,Vários,2,6.22161388664219
ALEGRETE,RS,Sul,4300406,78003,7,0,4,0,1,Vários,12,15.3840236913965
ALEGRETE DO PIAUÍ,PI,Nordeste,2200277,4838,0,0,0,0,0,Nenhum,0,0
ALEGRIA,RS,Sul,4300455,4037,0,0,0,0,0,Nenhum,0,0
ALÉM PARAÍBA,MG,Sudeste,3101508,35866,3,0,3,0,1,Vários,7,19.5170913957509
ALENQUER,PA,Norte,1500404,55246,0,0,1,0,2,Vários,3,5.43025739420049
ALEXANDRIA,RN,Nordeste,2400505,13827,0,0,0,0,1,Um,1,7.23222680263253
ALEXÂNIA,GO,Centro-Oeste,5200308,26770,1,0,1,0,0,Vários,2,7.47104968248039
ALFENAS,MG,Sudeste,3101607,79707,1,0,3,0,2,Vários,6,7.52756972411457
ALFREDO CHAVES,ES,Sudeste,3200300,15082,0,0,1,0,1,Vários,2,13.2608407373027
ALFREDO MARCONDES,SP,Sudeste,3500808,4135,0,0,0,0,0,Nenhum,0,0
ALFREDO VASCONCELOS,MG,Sudeste,3101631,6775,0,0,0,0,0,Nenhum,0,0
ALFREDO WAGNER,SC,Sul,4200705,9960,0,0,0,0,1,Um,1,10.0401606425703
ALGODÃO DE JANDAÍRA,PB,Nordeste,2500577,2501,0,0,0,0,0,Nenhum,0,0
ALHANDRA,PB,Nordeste,2500601,19579,0,0,0,0,0,Nenhum,0,0
ALIANÇA,PE,Nordeste,2600708,38267,0,0,0,0,0,Nenhum,0,0
ALIANÇA DO TOCANTINS,TO,Norte,1700350,5527,0,0,0,0,1,Um,1,18.0929980097702
